nodeName altName nodeAttribute
GENE:JGI_V11_192996 NA brown
GENE:JGI_V11_193467 NA brown
GENE:JGI_V11_19438 NA blue
GENE:JGI_V11_194797 NA cyan
GENE:JGI_V11_197996 NA brown
GENE:JGI_V11_198042 NA brown
GENE:JGI_V11_199215 NA brown
GENE:JGI_V11_199562 NA cyan
GENE:JGI_V11_201098 NA brown
GENE:JGI_V11_202549 NA cyan
GENE:JGI_V11_203585 NA brown
GENE:JGI_V11_206150 NA brown
GENE:JGI_V11_207089 NA blue
GENE:JGI_V11_207748 NA brown
GENE:JGI_V11_210441 NA brown
GENE:JGI_V11_211085 NA cyan
GENE:JGI_V11_211258 NA brown
GENE:JGI_V11_211493 NA brown
GENE:JGI_V11_213412 NA brown
GENE:JGI_V11_213854 NA brown
GENE:JGI_V11_216737 NA brown
GENE:JGI_V11_221074 NA brown
GENE:JGI_V11_221202 NA brown
GENE:JGI_V11_221835 NA brown
GENE:JGI_V11_222080 NA blue
GENE:JGI_V11_222489 NA brown
GENE:JGI_V11_222710 NA cyan
GENE:JGI_V11_222925 NA brown
GENE:JGI_V11_223049 NA brown
GENE:JGI_V11_223069 NA cyan
GENE:JGI_V11_223071 NA brown
GENE:JGI_V11_223098 NA brown
GENE:JGI_V11_223107 NA cyan
GENE:JGI_V11_223388 NA brown
GENE:JGI_V11_223528 NA cyan
GENE:JGI_V11_223595 NA brown
GENE:JGI_V11_223601 NA brown
GENE:JGI_V11_224273 NA blue
GENE:JGI_V11_224645 NA brown
GENE:JGI_V11_225030 NA brown
GENE:JGI_V11_225508 NA blue
GENE:JGI_V11_226068 NA brown
GENE:JGI_V11_226202 NA blue
GENE:JGI_V11_22729 NA cyan
GENE:JGI_V11_227580 NA brown
GENE:JGI_V11_227744 NA brown
GENE:JGI_V11_227862 NA cyan
GENE:JGI_V11_228199 NA brown
GENE:JGI_V11_228843 NA cyan
GENE:JGI_V11_228895 NA cyan
GENE:JGI_V11_229417 NA blue
GENE:JGI_V11_230022 NA cyan
GENE:JGI_V11_230056 NA brown
GENE:JGI_V11_230622 NA blue
GENE:JGI_V11_230650 NA brown
GENE:JGI_V11_232046 NA cyan
GENE:JGI_V11_232260 NA cyan
GENE:JGI_V11_232636 NA brown
GENE:JGI_V11_232994 NA brown
GENE:JGI_V11_233115 NA cyan
GENE:JGI_V11_233314 NA cyan
GENE:JGI_V11_233419 NA brown
GENE:JGI_V11_233669 NA brown
GENE:JGI_V11_234280 NA cyan
GENE:JGI_V11_234294 NA brown
GENE:JGI_V11_234295 NA brown
GENE:JGI_V11_234338 NA brown
GENE:JGI_V11_234339 NA cyan
GENE:JGI_V11_234437 NA brown
GENE:JGI_V11_23478 NA brown
GENE:JGI_V11_234909 NA brown
GENE:JGI_V11_23494 NA blue
GENE:JGI_V11_235273 NA cyan
GENE:JGI_V11_235619 NA brown
GENE:JGI_V11_235672 NA brown
GENE:JGI_V11_235697 NA brown
GENE:JGI_V11_235698 NA brown
GENE:JGI_V11_235798 NA brown
GENE:JGI_V11_235963 NA brown
GENE:JGI_V11_236054 NA brown
GENE:JGI_V11_236104 NA brown
GENE:JGI_V11_236137 NA brown
GENE:JGI_V11_236331 NA brown
GENE:JGI_V11_236589 NA cyan
GENE:JGI_V11_236969 NA brown
GENE:JGI_V11_237038 NA brown
GENE:JGI_V11_237740 NA brown
GENE:JGI_V11_237981 NA cyan
GENE:JGI_V11_238085 NA brown
GENE:JGI_V11_238127 NA brown
GENE:JGI_V11_238362 NA brown
GENE:JGI_V11_238751 NA brown
GENE:JGI_V11_238980 NA blue
GENE:JGI_V11_239029 NA cyan
GENE:JGI_V11_239046 NA brown
GENE:JGI_V11_239056 NA cyan
GENE:JGI_V11_239223 NA brown
GENE:JGI_V11_23978 NA brown
GENE:JGI_V11_240281 NA brown
GENE:JGI_V11_240303 NA blue
GENE:JGI_V11_240613 NA blue
GENE:JGI_V11_240676 NA brown
GENE:JGI_V11_240720 NA cyan
GENE:JGI_V11_241167 NA brown
GENE:JGI_V11_241168 NA brown
GENE:JGI_V11_241178 NA brown
GENE:JGI_V11_24132 NA brown
GENE:JGI_V11_241450 NA brown
GENE:JGI_V11_241498 NA brown
GENE:JGI_V11_241507 NA red
GENE:JGI_V11_241969 NA cyan
GENE:JGI_V11_242029 NA red
GENE:JGI_V11_243427 NA cyan
GENE:JGI_V11_243666 NA blue
GENE:JGI_V11_244265 NA blue
GENE:JGI_V11_244749 NA cyan
GENE:JGI_V11_244816 NA cyan
GENE:JGI_V11_245401 NA brown
GENE:JGI_V11_246066 NA brown
GENE:JGI_V11_24622 NA brown
GENE:JGI_V11_246424 NA brown
GENE:JGI_V11_246440 NA brown
GENE:JGI_V11_246462 NA brown
GENE:JGI_V11_246498 NA cyan
GENE:JGI_V11_246537 NA brown
GENE:JGI_V11_247220 NA brown
GENE:JGI_V11_247529 NA brown
GENE:JGI_V11_247535 NA brown
GENE:JGI_V11_247536 NA brown
GENE:JGI_V11_247615 NA cyan
GENE:JGI_V11_247821 NA cyan
GENE:JGI_V11_248686 NA blue
GENE:JGI_V11_248687 NA blue
GENE:JGI_V11_248813 NA brown
GENE:JGI_V11_248877 NA brown
GENE:JGI_V11_248993 NA brown
GENE:JGI_V11_249001 NA cyan
GENE:JGI_V11_249347 NA blue
GENE:JGI_V11_251033 NA brown
GENE:JGI_V11_251633 NA brown
GENE:JGI_V11_251634 NA brown
GENE:JGI_V11_251635 NA brown
GENE:JGI_V11_251731 NA brown
GENE:JGI_V11_251822 NA brown
GENE:JGI_V11_25188 NA red
GENE:JGI_V11_252056 NA brown
GENE:JGI_V11_252196 NA brown
GENE:JGI_V11_252245 NA yellow
GENE:JGI_V11_252247 NA yellow
GENE:JGI_V11_252701 NA blue
GENE:JGI_V11_252924 NA cyan
GENE:JGI_V11_253505 NA brown
GENE:JGI_V11_254045 NA darkred
GENE:JGI_V11_254132 NA brown
GENE:JGI_V11_254411 NA yellow
GENE:JGI_V11_255481 NA brown
GENE:JGI_V11_255495 NA blue
GENE:JGI_V11_255524 NA brown
GENE:JGI_V11_255566 NA brown
GENE:JGI_V11_255585 NA brown
GENE:JGI_V11_255753 NA brown
GENE:JGI_V11_255869 NA brown
GENE:JGI_V11_255908 NA brown
GENE:JGI_V11_255985 NA brown
GENE:JGI_V11_256104 NA brown
GENE:JGI_V11_256501 NA cyan
GENE:JGI_V11_256739 NA brown
GENE:JGI_V11_256751 NA brown
GENE:JGI_V11_256895 NA brown
GENE:JGI_V11_257285 NA blue
GENE:JGI_V11_257408 NA blue
GENE:JGI_V11_257527 NA brown
GENE:JGI_V11_258414 NA blue
GENE:JGI_V11_260373 NA blue
GENE:JGI_V11_260769 NA brown
GENE:JGI_V11_260963 NA brown
GENE:JGI_V11_260981 NA darkred
GENE:JGI_V11_261051 NA blue
GENE:JGI_V11_261889 NA cyan
GENE:JGI_V11_262153 NA blue
GENE:JGI_V11_263423 NA brown
GENE:JGI_V11_263601 NA brown
GENE:JGI_V11_264222 NA brown
GENE:JGI_V11_26434 NA brown
GENE:JGI_V11_265095 NA blue
GENE:JGI_V11_265806 NA blue
GENE:JGI_V11_266158 NA cyan
GENE:JGI_V11_26682 NA cyan
GENE:JGI_V11_269180 NA brown
GENE:JGI_V11_269364 NA brown
GENE:JGI_V11_269745 NA blue
GENE:JGI_V11_270382 NA brown
GENE:JGI_V11_270421 NA cyan
GENE:JGI_V11_271085 NA blue
GENE:JGI_V11_271783 NA cyan
GENE:JGI_V11_272188 NA blue
GENE:JGI_V11_27395 NA brown
GENE:JGI_V11_27769 NA cyan
GENE:JGI_V11_28013 NA brown
GENE:JGI_V11_28189 NA brown
GENE:JGI_V11_299469 NA brown
GENE:JGI_V11_299508 NA brown
GENE:JGI_V11_299584 NA brown
GENE:JGI_V11_299633 NA cyan
GENE:JGI_V11_299653 NA brown
GENE:JGI_V11_299677 NA brown
GENE:JGI_V11_299753 NA brown
GENE:JGI_V11_299824 NA brown
GENE:JGI_V11_300018 NA brown
GENE:JGI_V11_300045 NA brown
GENE:JGI_V11_300161 NA brown
GENE:JGI_V11_300167 NA brown
GENE:JGI_V11_300228 NA brown
GENE:JGI_V11_300355 NA brown
GENE:JGI_V11_300379 NA brown
GENE:JGI_V11_300384 NA brown
GENE:JGI_V11_300415 NA brown
GENE:JGI_V11_300523 NA brown
GENE:JGI_V11_300580 NA brown
GENE:JGI_V11_300819 NA brown
GENE:JGI_V11_300890 NA brown
GENE:JGI_V11_301125 NA brown
GENE:JGI_V11_301162 NA brown
GENE:JGI_V11_301494 NA brown
GENE:JGI_V11_301606 NA cyan
GENE:JGI_V11_302021 NA brown
GENE:JGI_V11_302057 NA brown
GENE:JGI_V11_302115 NA cyan
GENE:JGI_V11_302130 NA cyan
GENE:JGI_V11_302158 NA brown
GENE:JGI_V11_302225 NA brown
GENE:JGI_V11_302439 NA brown
GENE:JGI_V11_302642 NA cyan
GENE:JGI_V11_302646 NA brown
GENE:JGI_V11_302678 NA blue
GENE:JGI_V11_302690 NA cyan
GENE:JGI_V11_302756 NA brown
GENE:JGI_V11_302885 NA brown
GENE:JGI_V11_303055 NA brown
GENE:JGI_V11_303246 NA brown
GENE:JGI_V11_303248 NA cyan
GENE:JGI_V11_303434 NA cyan
GENE:JGI_V11_303477 NA brown
GENE:JGI_V11_303556 NA cyan
GENE:JGI_V11_303560 NA brown
GENE:JGI_V11_303752 NA brown
GENE:JGI_V11_303993 NA brown
GENE:JGI_V11_304044 NA cyan
GENE:JGI_V11_304051 NA brown
GENE:JGI_V11_304075 NA cyan
GENE:JGI_V11_304208 NA cyan
GENE:JGI_V11_304267 NA brown
GENE:JGI_V11_304324 NA cyan
GENE:JGI_V11_304358 NA brown
GENE:JGI_V11_304479 NA cyan
GENE:JGI_V11_304498 NA brown
GENE:JGI_V11_304539 NA brown
GENE:JGI_V11_304645 NA brown
GENE:JGI_V11_304692 NA brown
GENE:JGI_V11_304743 NA blue
GENE:JGI_V11_304874 NA brown
GENE:JGI_V11_304957 NA cyan
GENE:JGI_V11_305193 NA brown
GENE:JGI_V11_305291 NA brown
GENE:JGI_V11_305315 NA brown
GENE:JGI_V11_305389 NA brown
GENE:JGI_V11_305413 NA brown
GENE:JGI_V11_305420 NA brown
GENE:JGI_V11_305561 NA cyan
GENE:JGI_V11_305585 NA brown
GENE:JGI_V11_305707 NA brown
GENE:JGI_V11_306029 NA cyan
GENE:JGI_V11_306260 NA cyan
GENE:JGI_V11_306271 NA brown
GENE:JGI_V11_306273 NA cyan
GENE:JGI_V11_306329 NA blue
GENE:JGI_V11_306333 NA brown
GENE:JGI_V11_306338 NA brown
GENE:JGI_V11_306421 NA cyan
GENE:JGI_V11_306528 NA brown
GENE:JGI_V11_306626 NA brown
GENE:JGI_V11_306637 NA brown
GENE:JGI_V11_306638 NA brown
GENE:JGI_V11_306652 NA brown
GENE:JGI_V11_306654 NA brown
GENE:JGI_V11_306655 NA brown
GENE:JGI_V11_306666 NA brown
GENE:JGI_V11_306668 NA brown
GENE:JGI_V11_306690 NA cyan
GENE:JGI_V11_306805 NA yellow
GENE:JGI_V11_306815 NA brown
GENE:JGI_V11_306880 NA brown
GENE:JGI_V11_306895 NA brown
GENE:JGI_V11_306993 NA brown
GENE:JGI_V11_307005 NA brown
GENE:JGI_V11_307145 NA brown
GENE:JGI_V11_307164 NA brown
GENE:JGI_V11_307168 NA brown
GENE:JGI_V11_307200 NA brown
GENE:JGI_V11_307205 NA brown
GENE:JGI_V11_307219 NA cyan
GENE:JGI_V11_307225 NA brown
GENE:JGI_V11_307368 NA brown
GENE:JGI_V11_307489 NA brown
GENE:JGI_V11_307510 NA brown
GENE:JGI_V11_307572 NA cyan
GENE:JGI_V11_307616 NA brown
GENE:JGI_V11_307641 NA cyan
GENE:JGI_V11_307653 NA brown
GENE:JGI_V11_307782 NA cyan
GENE:JGI_V11_307817 NA cyan
GENE:JGI_V11_307911 NA cyan
GENE:JGI_V11_307953 NA brown
GENE:JGI_V11_308011 NA brown
GENE:JGI_V11_308114 NA cyan
GENE:JGI_V11_308138 NA brown
GENE:JGI_V11_308214 NA brown
GENE:JGI_V11_308231 NA brown
GENE:JGI_V11_308546 NA brown
GENE:JGI_V11_308662 NA brown
GENE:JGI_V11_308757 NA brown
GENE:JGI_V11_308786 NA brown
GENE:JGI_V11_308792 NA brown
GENE:JGI_V11_308799 NA brown
GENE:JGI_V11_308970 NA yellow
GENE:JGI_V11_309118 NA cyan
GENE:JGI_V11_309468 NA brown
GENE:JGI_V11_310417 NA cyan
GENE:JGI_V11_310478 NA blue
GENE:JGI_V11_310544 NA brown
GENE:JGI_V11_310658 NA cyan
GENE:JGI_V11_310721 NA cyan
GENE:JGI_V11_310739 NA blue
GENE:JGI_V11_310742 NA brown
GENE:JGI_V11_311205 NA cyan
GENE:JGI_V11_311388 NA cyan
GENE:JGI_V11_311404 NA brown
GENE:JGI_V11_312170 NA blue
GENE:JGI_V11_312233 NA brown
GENE:JGI_V11_312284 NA brown
GENE:JGI_V11_312329 NA brown
GENE:JGI_V11_312371 NA brown
GENE:JGI_V11_312411 NA brown
GENE:JGI_V11_312515 NA brown
GENE:JGI_V11_312570 NA brown
GENE:JGI_V11_312582 NA brown
GENE:JGI_V11_312636 NA brown
GENE:JGI_V11_312721 NA yellow
GENE:JGI_V11_312910 NA brown
GENE:JGI_V11_312950 NA cyan
GENE:JGI_V11_313104 NA blue
GENE:JGI_V11_313105 NA blue
GENE:JGI_V11_313316 NA brown
GENE:JGI_V11_313395 NA brown
GENE:JGI_V11_313656 NA brown
GENE:JGI_V11_313721 NA yellow
GENE:JGI_V11_313765 NA brown
GENE:JGI_V11_313766 NA brown
GENE:JGI_V11_313841 NA blue
GENE:JGI_V11_313849 NA brown
GENE:JGI_V11_314008 NA brown
GENE:JGI_V11_314121 NA brown
GENE:JGI_V11_314167 NA yellow
GENE:JGI_V11_314375 NA brown
GENE:JGI_V11_314376 NA blue
GENE:JGI_V11_314563 NA cyan
GENE:JGI_V11_314847 NA blue
GENE:JGI_V11_314967 NA brown
GENE:JGI_V11_314989 NA brown
GENE:JGI_V11_315059 NA brown
GENE:JGI_V11_315076 NA brown
GENE:JGI_V11_315096 NA blue
GENE:JGI_V11_315684 NA cyan
GENE:JGI_V11_315764 NA brown
GENE:JGI_V11_315765 NA cyan
GENE:JGI_V11_315874 NA brown
GENE:JGI_V11_315923 NA cyan
GENE:JGI_V11_316234 NA cyan
GENE:JGI_V11_316325 NA brown
GENE:JGI_V11_316614 NA brown
GENE:JGI_V11_316858 NA cyan
GENE:JGI_V11_316924 NA brown
GENE:JGI_V11_317027 NA brown
GENE:JGI_V11_317495 NA cyan
GENE:JGI_V11_318466 NA yellow
GENE:JGI_V11_318763 NA blue
GENE:JGI_V11_319328 NA brown
GENE:JGI_V11_319350 NA brown
GENE:JGI_V11_319483 NA brown
GENE:JGI_V11_319562 NA brown
GENE:JGI_V11_319711 NA blue
GENE:JGI_V11_319860 NA blue
GENE:JGI_V11_319952 NA blue
GENE:JGI_V11_320126 NA cyan
GENE:JGI_V11_320342 NA brown
GENE:JGI_V11_320663 NA brown
GENE:JGI_V11_320684 NA brown
GENE:JGI_V11_321005 NA blue
GENE:JGI_V11_321077 NA blue
GENE:JGI_V11_321183 NA brown
GENE:JGI_V11_321301 NA brown
GENE:JGI_V11_321313 NA cyan
GENE:JGI_V11_321342 NA brown
GENE:JGI_V11_321627 NA red
GENE:JGI_V11_321819 NA brown
GENE:JGI_V11_321846 NA brown
GENE:JGI_V11_322122 NA blue
GENE:JGI_V11_322123 NA blue
GENE:JGI_V11_322251 NA brown
GENE:JGI_V11_322321 NA brown
GENE:JGI_V11_322886 NA blue
GENE:JGI_V11_322979 NA brown
GENE:JGI_V11_323360 NA brown
GENE:JGI_V11_323538 NA brown
GENE:JGI_V11_323731 NA blue
GENE:JGI_V11_323929 NA brown
GENE:JGI_V11_324567 NA cyan
GENE:JGI_V11_324998 NA brown
GENE:JGI_V11_325185 NA cyan
GENE:JGI_V11_325455 NA cyan
GENE:JGI_V11_325563 NA blue
GENE:JGI_V11_325614 NA blue
GENE:JGI_V11_325899 NA brown
GENE:JGI_V11_325912 NA brown
GENE:JGI_V11_326114 NA blue
GENE:JGI_V11_326407 NA brown
GENE:JGI_V11_326474 NA brown
GENE:JGI_V11_326535 NA brown
GENE:JGI_V11_326539 NA yellow
GENE:JGI_V11_326613 NA blue
GENE:JGI_V11_326941 NA cyan
GENE:JGI_V11_327053 NA cyan
GENE:JGI_V11_327108 NA brown
GENE:JGI_V11_327184 NA brown
GENE:JGI_V11_327238 NA brown
GENE:JGI_V11_327313 NA brown
GENE:JGI_V11_327362 NA brown
GENE:JGI_V11_327683 NA blue
GENE:JGI_V11_327732 NA brown
GENE:JGI_V11_327820 NA brown
GENE:JGI_V11_328316 NA cyan
GENE:JGI_V11_328638 NA brown
GENE:JGI_V11_329358 NA blue
GENE:JGI_V11_329827 NA brown
GENE:JGI_V11_329848 NA brown
GENE:JGI_V11_329904 NA blue
GENE:JGI_V11_330009 NA blue
GENE:JGI_V11_330176 NA brown
GENE:JGI_V11_330533 NA brown
GENE:JGI_V11_330682 NA brown
GENE:JGI_V11_330684 NA brown
GENE:JGI_V11_330715 NA brown
GENE:JGI_V11_331825 NA blue
GENE:JGI_V11_331956 NA brown
GENE:JGI_V11_332445 NA cyan
GENE:JGI_V11_332455 NA blue
GENE:JGI_V11_332536 NA blue
GENE:JGI_V11_332588 NA blue
GENE:JGI_V11_332948 NA brown
GENE:JGI_V11_333109 NA yellow
GENE:JGI_V11_333128 NA brown
GENE:JGI_V11_333211 NA cyan
GENE:JGI_V11_333408 NA brown
GENE:JGI_V11_333653 NA cyan
GENE:JGI_V11_333654 NA brown
GENE:JGI_V11_33380 NA brown
GENE:JGI_V11_333910 NA brown
GENE:JGI_V11_334505 NA blue
GENE:JGI_V11_334508 NA blue
GENE:JGI_V11_334639 NA blue
GENE:JGI_V11_335040 NA cyan
GENE:JGI_V11_335881 NA blue
GENE:JGI_V11_335885 NA blue
GENE:JGI_V11_335886 NA blue
GENE:JGI_V11_336167 NA cyan
GENE:JGI_V11_336682 NA blue
GENE:JGI_V11_336986 NA cyan
GENE:JGI_V11_337137 NA brown
GENE:JGI_V11_337181 NA cyan
GENE:JGI_V11_337216 NA blue
GENE:JGI_V11_338192 NA brown
GENE:JGI_V11_339335 NA brown
GENE:JGI_V11_340564 NA blue
GENE:JGI_V11_34161 NA brown
GENE:JGI_V11_34168 NA cyan
GENE:JGI_V11_34205 NA cyan
GENE:JGI_V11_34713 NA cyan
GENE:JGI_V11_35904 NA blue
GENE:JGI_V11_41086 NA brown
GENE:JGI_V11_41435 NA brown
GENE:JGI_V11_42631 NA cyan
GENE:JGI_V11_43767 NA blue
GENE:JGI_V11_43928 NA cyan
GENE:JGI_V11_45649 NA brown
GENE:JGI_V11_47061 NA cyan
GENE:JGI_V11_47392 NA cyan
GENE:JGI_V11_47537 NA brown
GENE:JGI_V11_47843 NA brown
GENE:JGI_V11_48184 NA red
GENE:JGI_V11_48477 NA cyan
GENE:JGI_V11_48482 NA blue
GENE:JGI_V11_48702 NA red
GENE:JGI_V11_49564 NA cyan
GENE:JGI_V11_49760 NA cyan
GENE:JGI_V11_49764 NA blue
GENE:JGI_V11_50099 NA brown
GENE:JGI_V11_50258 NA blue
GENE:JGI_V11_50786 NA yellow
GENE:JGI_V11_51580 NA brown
GENE:JGI_V11_52079 NA cyan
GENE:JGI_V11_52151 NA brown
GENE:JGI_V11_52339 NA brown
GENE:JGI_V11_53149 NA brown
GENE:JGI_V11_53625 NA brown
GENE:JGI_V11_54228 NA brown
GENE:JGI_V11_54498 NA brown
GENE:JGI_V11_55709 NA brown
GENE:JGI_V11_56298 NA cyan
GENE:JGI_V11_56446 NA brown
GENE:JGI_V11_57846 NA brown
GENE:JGI_V11_57855 NA brown
GENE:JGI_V11_58299 NA red
GENE:JGI_V11_60583 NA cyan
GENE:JGI_V11_60651 NA brown
GENE:JGI_V11_61174 NA brown
GENE:JGI_V11_62047 NA brown
GENE:JGI_V11_62512 NA brown
GENE:JGI_V11_63026 NA brown
GENE:JGI_V11_63134 NA cyan
GENE:JGI_V11_63719 NA brown
GENE:JGI_V11_64920 NA cyan
GENE:JGI_V11_65177 NA brown
GENE:JGI_V11_67067 NA brown
GENE:JGI_V11_67605 NA blue
GENE:JGI_V11_67675 NA blue
GENE:JGI_V11_67795 NA brown
GENE:JGI_V11_72860 NA brown
GENE:JGI_V11_9229 NA brown
GENE:JGI_V11_95013 NA brown
GENE:JGI_V11_95673 NA brown
GENE:JGI_V11_96137 NA brown
GENE:JGI_V11_96691 NA cyan
GENE:JGI_V11_96760 NA cyan
GENE:JGI_V11_97364 NA cyan
GENE:JGI_V11_97404 NA cyan
GENE:JGI_V11_97682 NA blue
GENE:JGI_V11_99438 NA brown
